Brand,CPU,RAM,Primary_Storage,GPU,Screen_Size,Resolution,Weight_kg,OS,Type,Battery_Hours,Touchscreen,Price_INR
Dell,i5-12500H,8GB,512GB SSD,RTX 4060 8GB,15.6,FHD,2.1,macOS,Gaming Series,3.2,No,99000
HP,Ryzen 5 5500U,16GB,512GB SSD,MX550 2GB,15.6,FHD,2.1,Windows 10,Notebook,8.5,No,66000
Lenovo,i3-1215U,16GB,512GB SSD,Integrated,15.6,FHD,1.6,Linux,Business Series,8.1,No,62000
Acer,Ryzen 9 5900HX,8GB,512GB SSD,RTX 4050 6GB,17.3,QHD,2.1,Windows 11,Gaming Series,4.3,No,111000
HP,i3-1215U,8GB,256GB SSD,MX550 2GB,13.3,FHD,1.7,Windows 11,Ultrabook,6.5,No,43000
HP,i5-11400H,16GB,1TB SSD,MX550 2GB,15.6,HD,2.1,Windows 10,Notebook,7.7,No,81000
Acer,i5-1235U,16GB,512GB SSD,MX550 2GB,15.6,FHD,1.6,Windows 11,Notebook,8.0,No,73000
Realme,Ryzen 5 5500U,16GB,256GB SSD,GTX 1650 4GB,14.0,QHD,1.9,macOS,Ultrabook,9.2,No,68000
Infinix,Ryzen 5 5500U,16GB,512GB SSD,MX550 2GB,14.0,FHD,1.2,Linux,Ultrabook,6.4,No,47000
ASUS,i9-12900H,16GB,256GB SSD,MX550 2GB,14.0,QHD,1.8,Linux,Notebook,7.2,No,95000
Infinix,i3-1215U,8GB,256GB SSD,Integrated,11.6,HD,1.1,Windows 11,Netbook,6.2,No,18000
Apple,Apple M1 Pro,8GB,512GB SSD,Integrated,15.6,Retina,2.3,macOS,Gaming Series,13.7,No,130000
Apple,Apple M2,8GB,256GB SSD,Integrated,13.3,Retina,1.7,macOS,Ultrabook,16.9,No,115000
HP,i3-1215U,4GB,256GB SSD,MX550 2GB,11.6,FHD,1.4,Linux,Netbook,9.0,No,29000
Acer,Ryzen 5 5500U,16GB,512GB SSD,Integrated,15.6,HD,2.1,Linux,Business Series,9.3,Yes,58000
Microsoft,Ryzen 9 5900HX,16GB,2TB SSD,Integrated,15.6,QHD,1.6,Windows 11,Business Series,9.5,No,137000
Apple,Apple M2 Pro,16GB,1TB SSD,Integrated,17.3,Retina,2.1,macOS,Gaming Series,17.7,No,175000
Samsung,Ryzen 7 5700U,16GB,256GB SSD,GTX 1650 4GB,13.3,HD,1.8,Linux,Ultrabook,6.4,No,85000
Dell,i3-1215U,8GB,256GB HDD,Integrated,11.6,FHD,1.5,macOS,Netbook,9.5,No,27000
Lenovo,i5-12500H,32GB,512GB SSD,GTX 1650 4GB,15.6,4K,2.4,Windows 10,Gaming Series,4.8,No,127000
MSI,i7-12700H,8GB,1TB SSD,Integrated,15.6,FHD,1.7,Linux,Business Series,5.7,Yes,91000
Infinix,Ryzen 3 3250U,4GB,512GB HDD,MX550 2GB,11.6,HD,1.0,Windows 10,Netbook,9.1,No,12000
Samsung,i9-12900H,16GB,2TB SSD,RTX 4060 8GB,17.3,QHD,2.7,Windows 11,Gaming Series,3.4,No,183000
Avita,Ryzen 7 5700U,8GB,512GB SSD,Integrated,13.3,FHD,1.4,Windows 10,Ultrabook,8.3,No,42000
Samsung,i3-1115G4,8GB,512GB SSD,Integrated,14.0,HD,2.0,Linux,Notebook,5.8,No,51000
ASUS,Ryzen 3 3250U,8GB,256GB HDD,Integrated,13.3,HD,1.4,Windows 11,Netbook,9.0,No,30000
Lenovo,Ryzen 9 5900HS,32GB,1TB SSD,RTX 3050 4GB,16.0,4K,2.4,Linux,Gaming Series,4.8,No,158000
Lenovo,Ryzen 3 3250U,4GB,512GB HDD,MX550 2GB,13.3,HD,1.0,Linux,Netbook,7.5,No,27000
Dell,Ryzen 9 5900HS,16GB,512GB SSD,GTX 1650 4GB,14.0,FHD,1.7,macOS,Business Series,9.9,No,106000
Microsoft,i9-12900H,32GB,2TB SSD,RTX 3070 8GB,17.3,QHD,2.1,Windows 11,Gaming Series,4.5,No,221000
Samsung,Ryzen 9 5900HS,16GB,2TB SSD,RTX 3050 4GB,17.3,FHD,2.8,Windows 10,Gaming Series,5.3,Yes,133000
Dell,Ryzen 9 5900HX,16GB,2TB SSD,RTX 4050 6GB,17.3,FHD,2.8,macOS,Gaming Series,4.1,No,136000
Avita,i7-1255U,16GB,512GB SSD,MX550 2GB,15.6,HD,2.1,macOS,Notebook,8.4,No,78000
Acer,i7-1255U,16GB,512GB SSD,Integrated,14.0,FHD,1.7,macOS,Business Series,6.0,No,80000
MSI,Ryzen 5 5600H,16GB,256GB SSD,Integrated,15.6,FHD,2.3,Linux,Notebook,9.8,No,77000
Microsoft,i9-12900H,16GB,1TB SSD,Integrated,14.0,FHD,1.7,Linux,Business Series,6.6,No,136000
Samsung,Ryzen 9 5900HS,16GB,256GB SSD,Integrated,14.0,FHD,1.9,macOS,Notebook,8.8,No,79000
Avita,Ryzen 7 5700U,8GB,1TB SSD,MX550 2GB,14.0,FHD,2.2,Windows 10,Notebook,7.5,No,50000
Infinix,Ryzen 7 5800H,8GB,1TB SSD,RTX 4060 8GB,15.6,QHD,2.3,Linux,Gaming Series,4.0,No,93000
Microsoft,i5-1235U,8GB,1TB SSD,GTX 1650 4GB,15.6,FHD,2.1,Windows 11,Business Series,5.9,No,112000
HP,Ryzen 3 3250U,8GB,512GB HDD,Integrated,11.6,HD,1.5,macOS,Netbook,7.3,No,30000
HP,Ryzen 3 3250U,4GB,256GB SSD,Integrated,11.6,HD,1.2,macOS,Netbook,9.9,No,26000
Samsung,Ryzen 3 3250U,16GB,1TB SSD,MX550 2GB,15.6,FHD,1.6,macOS,Notebook,6.3,No,75000
Microsoft,Ryzen 3 3250U,4GB,256GB SSD,Integrated,13.3,HD,1.5,macOS,Netbook,9.7,No,49000
MSI,i7-12700H,8GB,512GB SSD,Integrated,15.6,4K,2.0,macOS,Notebook,5.3,No,107000
Acer,i7-11800H,16GB,256GB SSD,Integrated,14.0,FHD,1.7,Linux,Notebook,7.8,No,70000
Acer,i5-12500H,8GB,1TB SSD,Integrated,14.0,HD,1.3,Windows 11,Ultrabook,6.5,No,58000
MSI,Ryzen 3 3250U,8GB,256GB HDD,MX550 2GB,11.6,HD,1.1,Windows 11,Netbook,8.0,No,22924
Samsung,Ryzen 7 5700U,16GB,512GB SSD,GTX 1650 4GB,14.0,FHD,1.3,macOS,Ultrabook,5.7,No,94000
Samsung,Ryzen 9 5900HX,32GB,1TB SSD,GTX 1650 4GB,15.6,QHD,2.5,macOS,Gaming Series,6.0,No,161000
Lenovo,Ryzen 3 3250U,4GB,256GB SSD,Integrated,13.3,HD,1.5,Windows 11,Netbook,7.7,No,24000
Dell,i5-1135G7,16GB,256GB SSD,MX550 2GB,14.0,FHD,2.0,Linux,Notebook,8.0,No,77000
MSI,Ryzen 9 5900HX,64GB,1TB SSD,RTX 3060 6GB,15.6,FHD,2.1,Linux,Gaming Series,5.8,No,228000
Avita,Ryzen 9 5900HS,64GB,2TB SSD,GTX 1650 4GB,15.6,FHD,2.7,Windows 10,Gaming Series,4.0,No,191000
Avita,i7-12700H,32GB,512GB SSD,MX550 2GB,15.6,FHD,2.2,macOS,Business Series,6.3,No,97000
Samsung,i3-1215U,8GB,256GB HDD,Integrated,13.3,FHD,1.4,Windows 10,Netbook,9.3,No,38000
Acer,i5-1135G7,8GB,256GB SSD,Integrated,13.3,FHD,1.9,macOS,Ultrabook,8.2,No,45000
HP,i9-12900H,64GB,512GB SSD,RTX 3060 6GB,16.0,QHD,2.2,Linux,Gaming Series,3.9,No,212000
MSI,i9-12900H,16GB,512GB SSD,GTX 1650 4GB,15.6,FHD,2.5,Windows 11,Gaming Series,3.3,No,131000
Infinix,i7-1255U,16GB,512GB SSD,Integrated,14.0,FHD,1.8,macOS,Business Series,7.6,No,64000
Apple,Apple M2 Pro,8GB,256GB SSD,Integrated,13.3,Retina,1.4,macOS,Netbook,13.3,No,42465
Apple,Apple M2,8GB,512GB SSD,Integrated,13.3,Retina,1.6,macOS,Ultrabook,13.9,No,103000
Dell,i5-11400H,32GB,256GB SSD,Integrated,14.0,HD,1.9,Windows 10,Notebook,9.6,No,93000
ASUS,Ryzen 5 5600H,8GB,1TB SSD,GTX 1650 4GB,13.3,FHD,1.3,Windows 10,Ultrabook,5.8,No,71000
Microsoft,i7-11800H,4GB,256GB SSD,Integrated,14.0,FHD,1.5,macOS,Ultrabook,8.8,No,88000
Lenovo,Ryzen 3 3250U,4GB,256GB HDD,MX550 2GB,11.6,HD,1.2,DOS,Netbook,6.1,No,25000
Microsoft,Ryzen 7 5800H,4GB,1TB SSD,GTX 1650 4GB,13.3,FHD,1.8,macOS,Ultrabook,9.7,Yes,91000
Realme,i9-12900H,8GB,1TB SSD,MX550 2GB,14.0,FHD,1.9,Windows 11,Ultrabook,5.9,No,79000
Microsoft,i5-12500H,4GB,512GB SSD,MX550 2GB,13.3,FHD,1.3,Linux,Ultrabook,6.4,No,83000
Dell,i3-1115G4,16GB,1TB SSD,MX550 2GB,15.6,FHD,2.1,Windows 11,Notebook,9.3,No,64000
Acer,i7-12700H,8GB,1TB SSD,MX550 2GB,15.6,FHD,1.6,Windows 11,Notebook,8.6,No,77000
Samsung,Ryzen 3 3250U,8GB,512GB HDD,Integrated,11.6,HD,1.3,Windows 11,Netbook,6.1,No,36000
HP,Ryzen 9 5900HS,8GB,256GB SSD,Integrated,14.0,FHD,2.1,macOS,Notebook,7.4,No,68000
Samsung,i5-1135G7,8GB,512GB SSD,MX550 2GB,14.0,FHD,1.7,Windows 11,Notebook,7.6,No,71000
ASUS,i7-12700H,16GB,512GB SSD,RTX 4060 8GB,16.0,QHD,2.5,macOS,Gaming Series,4.1,No,133000
Acer,i5-11400H,16GB,512GB SSD,MX550 2GB,15.6,HD,1.7,Windows 10,Notebook,6.0,No,77000
Infinix,i9-12900H,16GB,256GB SSD,GTX 1650 4GB,13.3,HD,1.3,Windows 10,Ultrabook,7.4,No,82000
Infinix,i5-11400H,16GB,512GB SSD,Integrated,15.6,FHD,1.7,Windows 10,Notebook,7.2,No,55000
Dell,Ryzen 5 5500U,16GB,1TB SSD,Integrated,14.0,FHD,1.9,Linux,Ultrabook,6.1,No,67000
Realme,Ryzen 5 5500U,16GB,1TB SSD,GTX 1650 4GB,14.0,FHD,2.0,Windows 10,Business Series,8.7,No,80000
Avita,Ryzen 9 5900HS,8GB,512GB SSD,Integrated,14.0,FHD,1.6,Linux,Notebook,6.0,No,54000
Dell,Ryzen 3 3250U,16GB,2TB SSD,MX550 2GB,15.6,HD,2.1,macOS,Business Series,9.6,No,94000
HP,Ryzen 3 3250U,8GB,256GB SSD,Integrated,15.6,FHD,1.9,Windows 11,Notebook,6.7,No,37000
Microsoft,Ryzen 3 3250U,16GB,256GB SSD,Integrated,14.0,QHD,2.2,Linux,Notebook,5.4,No,84000
Realme,i9-12900H,32GB,1TB SSD,RTX 3050 4GB,17.3,FHD,2.6,macOS,Gaming Series,5.7,No,137000
Microsoft,Ryzen 3 3250U,4GB,256GB SSD,Integrated,13.3,HD,1.1,Linux,Netbook,9.2,No,43201
Dell,i7-1255U,8GB,256GB SSD,Integrated,14.0,FHD,1.9,Windows 11,Notebook,9.5,No,68000
Infinix,Ryzen 7 5700U,8GB,1TB SSD,Integrated,15.6,HD,2.2,macOS,Notebook,6.9,No,51000
MSI,i5-12500H,32GB,512GB SSD,GTX 1650 4GB,17.3,FHD,2.2,Windows 10,Gaming Series,5.1,No,132000
Microsoft,Ryzen 3 3250U,16GB,1TB SSD,GTX 1650 4GB,14.0,FHD,1.4,macOS,Ultrabook,9.6,No,92000
Samsung,i7-11800H,8GB,512GB SSD,Integrated,14.0,FHD,2.0,Windows 11,Ultrabook,6.1,No,77000
Infinix,i7-11800H,8GB,512GB SSD,Integrated,14.0,FHD,1.6,Windows 10,Ultrabook,9.1,No,52000
Microsoft,Ryzen 3 3250U,8GB,256GB SSD,MX550 2GB,13.3,HD,1.0,Windows 10,Netbook,7.2,No,34043
MSI,i3-1115G4,8GB,1TB SSD,MX550 2GB,14.0,QHD,1.3,Windows 11,Ultrabook,7.4,No,82000
Samsung,Ryzen 3 3250U,4GB,256GB SSD,MX550 2GB,11.6,HD,1.0,Linux,Netbook,8.3,Yes,34000
Infinix,Ryzen 7 5800H,16GB,1TB SSD,GTX 1650 4GB,14.0,FHD,1.1,Windows 11,Ultrabook,6.7,No,66000
ASUS,i3-1215U,16GB,1TB SSD,MX550 2GB,14.0,FHD,2.3,Windows 10,Notebook,7.4,No,71000
Dell,Ryzen 9 5900HX,16GB,512GB SSD,Integrated,15.6,QHD,1.5,Linux,Notebook,6.1,No,88000
Samsung,Ryzen 7 5800H,16GB,1TB SSD,MX550 2GB,15.6,FHD,2.1,Windows 11,Notebook,5.8,No,90000
Microsoft,i5-12500H,16GB,2TB SSD,Integrated,15.6,FHD,1.9,Linux,Business Series,9.8,No,114000
Avita,i7-11800H,16GB,2TB SSD,MX550 2GB,15.6,HD,1.7,macOS,Business Series,9.2,No,97000
MSI,i5-1235U,16GB,256GB SSD,MX550 2GB,15.6,4K,1.7,Windows 10,Notebook,9.2,No,116000
Microsoft,Ryzen 7 5800H,8GB,1TB SSD,Integrated,13.3,FHD,1.5,Linux,Ultrabook,7.6,Yes,86000
Infinix,i9-12900H,32GB,512GB SSD,MX550 2GB,14.0,HD,1.7,Windows 10,Notebook,8.6,No,104000
Apple,Apple M2 Pro,4GB,512GB HDD,Integrated,13.3,Retina,1.3,macOS,Netbook,12.5,No,28841
Samsung,i7-12700H,8GB,512GB SSD,RTX 3050 4GB,15.6,4K,2.5,Linux,Gaming Series,5.5,No,110000
MSI,i5-12500H,16GB,1TB SSD,RTX 4060 8GB,16.0,FHD,2.4,Windows 11,Gaming Series,4.5,No,134000
Realme,Ryzen 7 5700U,16GB,512GB SSD,Integrated,15.6,QHD,1.8,Linux,Notebook,7.4,No,68000
Dell,Ryzen 9 5900HS,16GB,512GB SSD,RTX 3060 6GB,16.0,FHD,2.2,Windows 10,Gaming Series,5.3,No,105000
Acer,i5-12500H,8GB,512GB SSD,GTX 1650 4GB,16.0,FHD,2.6,Windows 10,Gaming Series,4.9,No,79000
Apple,Apple M2,8GB,1TB SSD,Integrated,14.0,Retina,1.1,macOS,Ultrabook,15.6,No,107000
MSI,i3-1115G4,8GB,1TB SSD,Integrated,14.0,QHD,1.2,Windows 11,Ultrabook,6.6,No,71000
Avita,i3-1115G4,4GB,256GB SSD,Integrated,13.3,HD,0.9,Windows 11,Netbook,9.9,No,14000
ASUS,Ryzen 9 5900HX,32GB,512GB SSD,RTX 4060 8GB,16.0,QHD,2.2,Windows 10,Gaming Series,3.6,No,156000
Realme,i5-1235U,16GB,256GB SSD,MX550 2GB,14.0,QHD,2.3,macOS,Notebook,5.2,No,69000
ASUS,i7-12700H,16GB,256GB SSD,GTX 1650 4GB,13.3,FHD,1.6,macOS,Ultrabook,8.4,No,95000
ASUS,i5-1235U,8GB,1TB SSD,GTX 1650 4GB,15.6,FHD,2.0,Windows 11,Business Series,8.1,No,78000
Avita,Ryzen 3 3250U,8GB,512GB SSD,Integrated,14.0,FHD,2.0,Windows 11,Notebook,9.9,No,30000
Avita,i5-12500H,16GB,512GB SSD,MX550 2GB,14.0,FHD,2.2,Windows 11,Notebook,5.6,Yes,63000
Avita,i9-12900H,8GB,512GB SSD,RTX 3050 4GB,17.3,FHD,2.4,Linux,Gaming Series,3.1,No,104000
Avita,i5-12500H,64GB,2TB SSD,RTX 3050 4GB,17.3,QHD,2.1,Linux,Gaming Series,6.0,No,199000
Apple,Apple M1,16GB,512GB SSD,Integrated,15.6,Retina,2.0,macOS,Notebook,13.7,No,100000
MSI,i9-12900H,64GB,512GB SSD,RTX 3070 8GB,17.3,FHD,2.3,Windows 10,Gaming Series,3.0,No,241000
Realme,i9-12900H,4GB,1TB SSD,MX550 2GB,14.0,FHD,1.6,Linux,Ultrabook,5.5,No,77000
Avita,Ryzen 7 5800H,16GB,512GB SSD,MX550 2GB,14.0,QHD,1.5,Windows 10,Ultrabook,9.5,No,68000
Avita,i3-1215U,8GB,256GB HDD,Integrated,13.3,HD,1.4,DOS,Netbook,10.0,No,17000
Avita,Ryzen 5 5600H,8GB,256GB SSD,MX550 2GB,15.6,FHD,1.7,Windows 11,Notebook,7.3,No,39000
Realme,i3-1115G4,4GB,256GB SSD,Integrated,13.3,HD,1.2,Windows 10,Netbook,6.1,No,15000
Acer,i3-1215U,4GB,512GB HDD,MX550 2GB,13.3,HD,1.4,Linux,Netbook,6.5,No,23000
Apple,Apple M1,16GB,2TB SSD,Integrated,16.0,Retina,2.7,macOS,Gaming Series,14.2,No,146000
Samsung,i3-1215U,16GB,512GB SSD,Integrated,14.0,HD,1.5,macOS,Ultrabook,8.8,No,63000
Microsoft,Ryzen 9 5900HX,32GB,256GB SSD,GTX 1650 4GB,13.3,FHD,1.3,Windows 11,Ultrabook,9.7,No,144000
Avita,Ryzen 5 5600H,16GB,256GB SSD,MX550 2GB,13.3,FHD,1.5,Windows 10,Ultrabook,8.8,No,49000
Realme,Ryzen 3 3250U,16GB,512GB SSD,MX550 2GB,14.0,FHD,2.0,Windows 11,Ultrabook,5.0,No,57000
Lenovo,Ryzen 7 5800H,32GB,2TB SSD,GTX 1650 4GB,16.0,QHD,2.1,Linux,Gaming Series,5.8,No,141000
Lenovo,Ryzen 7 5800H,16GB,256GB SSD,Integrated,13.3,HD,1.1,Windows 10,Ultrabook,6.3,No,62000
Realme,i7-12700H,8GB,256GB SSD,MX550 2GB,15.6,FHD,1.9,Linux,Notebook,8.3,No,64000
Avita,i7-1255U,32GB,1TB SSD,Integrated,14.0,FHD,1.8,Windows 10,Ultrabook,9.1,No,101000
MSI,i5-12500H,16GB,1TB SSD,Integrated,14.0,FHD,1.5,Linux,Ultrabook,9.6,No,99000
Avita,i9-12900H,16GB,1TB SSD,MX550 2GB,13.3,FHD,1.2,Windows 10,Ultrabook,7.6,No,100000
Infinix,Ryzen 7 5800H,16GB,2TB SSD,MX550 2GB,15.6,FHD,2.2,macOS,Business Series,7.3,No,77000
Dell,Ryzen 9 5900HX,16GB,2TB SSD,RTX 4050 6GB,17.3,FHD,2.4,Windows 11,Gaming Series,4.4,No,137000
Realme,Ryzen 5 5600H,8GB,2TB SSD,MX550 2GB,15.6,FHD,1.6,macOS,Business Series,7.0,No,79000
Avita,i3-1215U,4GB,256GB SSD,Integrated,11.6,HD,1.1,Windows 11,Netbook,6.8,No,13000
Apple,Apple M2,8GB,512GB SSD,Integrated,14.0,Retina,1.8,macOS,Ultrabook,17.4,No,118000
Samsung,i5-1235U,8GB,1TB SSD,Integrated,14.0,FHD,1.8,macOS,Notebook,8.4,No,67000
Microsoft,Ryzen 3 3250U,4GB,512GB HDD,Integrated,13.3,HD,1.2,macOS,Netbook,7.8,No,44000
Avita,Ryzen 3 3250U,8GB,1TB SSD,MX550 2GB,13.3,FHD,1.1,Linux,Ultrabook,9.1,No,44000
Avita,Ryzen 9 5900HX,32GB,2TB SSD,RTX 3050 4GB,17.3,FHD,2.6,Windows 10,Gaming Series,4.6,Yes,136000
Apple,Apple M2,4GB,512GB SSD,Integrated,14.0,Retina,1.7,macOS,Ultrabook,15.6,No,101000
MSI,i3-1115G4,4GB,512GB HDD,Integrated,13.3,HD,1.4,DOS,Netbook,8.3,No,43000
Realme,i3-1115G4,4GB,256GB HDD,Integrated,11.6,HD,1.5,DOS,Netbook,6.3,No,13000
MSI,i3-1115G4,16GB,2TB SSD,Integrated,15.6,FHD,2.2,Linux,Business Series,5.5,No,94000
Apple,Apple M1,16GB,2TB SSD,Integrated,17.3,Retina,2.7,macOS,Gaming Series,15.9,No,152000
Lenovo,Ryzen 9 5900HS,8GB,512GB SSD,Integrated,13.3,HD,1.6,macOS,Ultrabook,6.4,No,64000
HP,i3-1115G4,4GB,512GB HDD,Integrated,11.6,HD,1.2,DOS,Netbook,8.0,No,20000
Avita,i5-1135G7,16GB,256GB SSD,MX550 2GB,15.6,HD,2.2,Windows 10,Notebook,10.0,No,58000
Samsung,i7-1255U,8GB,512GB SSD,Integrated,13.3,FHD,1.0,macOS,Ultrabook,9.8,No,75000
Samsung,i3-1115G4,8GB,1TB SSD,Integrated,13.3,HD,1.9,Windows 11,Ultrabook,9.6,Yes,62000
MSI,Ryzen 5 5500U,8GB,512GB SSD,Integrated,13.3,QHD,1.5,macOS,Ultrabook,9.1,No,73000
Acer,Ryzen 3 3250U,16GB,1TB SSD,Integrated,15.6,FHD,1.8,Windows 11,Business Series,5.1,No,59000
Avita,i5-11400H,8GB,256GB SSD,Integrated,13.3,FHD,1.9,Windows 10,Ultrabook,6.9,No,43000
Lenovo,i7-1255U,16GB,1TB SSD,Integrated,13.3,HD,1.4,Linux,Ultrabook,9.3,Yes,76000
Lenovo,i5-12500H,64GB,1TB SSD,RTX 4060 8GB,17.3,FHD,2.2,Windows 11,Gaming Series,5.3,No,200000
Realme,i3-1115G4,4GB,256GB HDD,Integrated,11.6,FHD,1.5,Windows 10,Netbook,7.3,Yes,14000
Realme,i5-1135G7,16GB,512GB SSD,MX550 2GB,14.0,FHD,2.0,Windows 10,Business Series,9.5,No,71000
Microsoft,Ryzen 9 5900HS,16GB,512GB SSD,MX550 2GB,15.6,HD,1.7,Linux,Notebook,9.9,No,112000
Infinix,Ryzen 5 5500U,16GB,512GB SSD,Integrated,14.0,FHD,2.1,Windows 11,Business Series,6.8,No,56000
Infinix,i5-11400H,16GB,256GB SSD,MX550 2GB,14.0,FHD,1.5,Windows 10,Notebook,9.3,No,63000
Acer,Ryzen 9 5900HS,32GB,512GB SSD,RTX 3060 6GB,16.0,FHD,2.1,macOS,Gaming Series,4.3,No,138000
MSI,Ryzen 3 3250U,4GB,256GB SSD,Integrated,13.3,HD,1.2,macOS,Netbook,7.1,No,49000
Microsoft,Ryzen 3 3250U,4GB,512GB HDD,MX550 2GB,11.6,HD,1.1,Linux,Netbook,9.9,No,50000
Realme,Ryzen 5 5600H,16GB,512GB SSD,MX550 2GB,15.6,HD,2.2,Windows 10,Notebook,5.8,No,62000
MSI,Ryzen 3 3250U,4GB,256GB SSD,Integrated,15.6,FHD,2.1,Windows 11,Notebook,7.4,No,52000
Dell,Ryzen 7 5700U,16GB,512GB SSD,MX550 2GB,14.0,FHD,1.7,Windows 10,Notebook,9.3,No,73000
Realme,Ryzen 3 3250U,16GB,512GB SSD,Integrated,13.3,FHD,1.1,Windows 10,Ultrabook,7.2,Yes,46000
MSI,Ryzen 7 5800H,32GB,1TB SSD,RTX 3050 4GB,15.6,FHD,2.6,macOS,Gaming Series,5.6,No,144000
Dell,Ryzen 9 5900HX,8GB,1TB SSD,MX550 2GB,15.6,HD,2.1,macOS,Notebook,5.9,No,81000
ASUS,i7-11800H,4GB,512GB SSD,Integrated,15.6,QHD,1.7,Windows 10,Notebook,7.4,No,74000
Realme,i9-12900H,16GB,256GB SSD,Integrated,14.0,QHD,2.1,Linux,Notebook,6.2,No,83000
Realme,i3-1215U,8GB,256GB HDD,MX550 2GB,11.6,HD,1.0,DOS,Netbook,6.5,No,25000
Lenovo,Ryzen 9 5900HX,16GB,512GB SSD,RTX 3060 6GB,17.3,FHD,2.3,Windows 11,Gaming Series,5.0,Yes,110000
Apple,Apple M2,32GB,1TB SSD,Integrated,14.0,Retina,2.0,macOS,Ultrabook,15.7,No,156000
Dell,i9-12900H,16GB,1TB SSD,RTX 3070 8GB,17.3,FHD,2.8,Windows 11,Gaming Series,5.7,No,132000
HP,i3-1215U,4GB,256GB HDD,Integrated,13.3,HD,0.9,Windows 10,Netbook,6.6,No,24000
Acer,i3-1215U,8GB,512GB HDD,Integrated,11.6,HD,1.5,Windows 10,Netbook,8.1,No,25000
Apple,Apple M1,32GB,2TB SSD,Integrated,15.6,Retina,2.3,macOS,Gaming Series,15.6,No,171000
Dell,i3-1115G4,4GB,256GB SSD,MX550 2GB,13.3,HD,1.1,Windows 10,Netbook,7.0,No,29000
Lenovo,Ryzen 3 3250U,8GB,512GB SSD,MX550 2GB,13.3,FHD,1.7,Windows 10,Ultrabook,6.7,No,44000
Apple,Apple M2,8GB,256GB SSD,Integrated,14.0,Retina,1.8,macOS,Notebook,12.9,No,97000
Lenovo,i5-11400H,16GB,256GB SSD,GTX 1650 4GB,14.0,HD,1.8,Windows 11,Ultrabook,5.3,No,79000
HP,i7-12700H,32GB,2TB SSD,RTX 3050 4GB,15.6,FHD,2.3,Windows 10,Gaming Series,4.9,No,156000
Microsoft,i7-1255U,16GB,1TB SSD,Integrated,14.0,FHD,1.8,Linux,Ultrabook,9.7,No,116000
Avita,Ryzen 5 5500U,8GB,512GB SSD,MX550 2GB,15.6,FHD,2.2,Windows 10,Notebook,6.9,No,42000
Acer,Ryzen 9 5900HS,16GB,256GB SSD,GTX 1650 4GB,13.3,FHD,1.9,Linux,Ultrabook,6.4,No,84000
HP,i7-11800H,16GB,256GB SSD,GTX 1650 4GB,13.3,FHD,1.2,Windows 10,Ultrabook,8.8,No,80000
Avita,i5-12500H,8GB,512GB SSD,MX550 2GB,13.3,FHD,1.7,Linux,Ultrabook,8.6,No,52000
Dell,Ryzen 9 5900HX,4GB,512GB SSD,MX550 2GB,15.6,FHD,2.1,Windows 11,Notebook,7.1,No,60000
Avita,Ryzen 5 5500U,8GB,1TB SSD,Integrated,14.0,HD,1.1,Windows 11,Ultrabook,8.9,No,42000
HP,i7-1255U,16GB,1TB SSD,MX550 2GB,15.6,FHD,1.6,Windows 10,Business Series,9.7,No,91000
MSI,i7-1255U,8GB,256GB SSD,MX550 2GB,15.6,QHD,1.7,Windows 11,Notebook,9.8,No,103000
Samsung,i5-1235U,8GB,512GB SSD,Integrated,13.3,FHD,1.6,Windows 11,Ultrabook,7.4,No,57000
MSI,Ryzen 7 5800H,16GB,512GB SSD,RTX 3050 4GB,17.3,FHD,2.4,Windows 11,Gaming Series,4.1,No,125000
Apple,Apple M2,8GB,1TB SSD,Integrated,13.3,Retina,1.2,macOS,Ultrabook,12.0,No,115000
Infinix,i5-11400H,16GB,1TB SSD,MX550 2GB,15.6,FHD,2.1,Windows 10,Notebook,8.2,No,69000
Realme,i3-1115G4,4GB,256GB SSD,MX550 2GB,13.3,HD,1.2,Windows 11,Netbook,8.8,No,22000
Avita,i3-1115G4,8GB,512GB SSD,Integrated,15.6,FHD,1.5,macOS,Notebook,5.6,No,32000
Apple,Apple M1 Pro,8GB,512GB SSD,Integrated,14.0,Retina,2.0,macOS,Notebook,13.0,No,112000
Infinix,Ryzen 7 5800H,8GB,2TB SSD,MX550 2GB,14.0,HD,2.2,Windows 11,Business Series,5.0,No,77000
Realme,Ryzen 3 3250U,16GB,1TB SSD,MX550 2GB,15.6,FHD,2.0,macOS,Notebook,6.8,No,63000
ASUS,Ryzen 7 5700U,16GB,256GB SSD,MX550 2GB,14.0,FHD,1.8,Linux,Notebook,8.4,No,75000
Lenovo,i9-12900H,16GB,1TB SSD,MX550 2GB,14.0,FHD,2.0,Windows 10,Notebook,6.4,No,109000
Dell,Ryzen 3 3250U,4GB,512GB HDD,Integrated,11.6,HD,1.4,Windows 10,Netbook,7.2,No,21000
Samsung,Ryzen 9 5900HS,8GB,512GB SSD,GTX 1650 4GB,13.3,FHD,1.1,macOS,Ultrabook,9.5,No,92000
Microsoft,Ryzen 9 5900HS,16GB,2TB SSD,RTX 3070 8GB,17.3,FHD,2.4,macOS,Gaming Series,3.5,No,168000
Samsung,i7-12700H,32GB,512GB SSD,GTX 1650 4GB,14.0,FHD,1.5,Windows 11,Ultrabook,7.9,No,116000
Apple,Apple M2 Pro,8GB,2TB SSD,Integrated,15.6,Retina,2.0,macOS,Business Series,16.3,No,169000
